time_s,dP_Pa,O2_pct,exhale_state
141.177,2.985,17.37,1
141.277,1.514,17.4,1
141.377,1.285,17.4,1
141.477,0.0,17.4,1
141.577,0.0,17.4,1
141.677,0.0,17.4,0
141.777,0.0,17.4,0
141.877,0.0,17.47,0
141.977,0.0,17.47,0
142.077,0.0,17.47,0
142.177,0.0,17.47,0
142.277,0.0,17.47,0
142.377,0.0,17.47,0
142.477,0.0,17.43,0
142.577,1.56,17.43,0
142.677,3.648,17.43,0
142.777,3.556,17.43,1
142.877,4.223,17.43,1
142.977,2.589,17.43,1
143.077,3.427,17.37,1
143.177,1.831,17.37,1
143.277,2.673,17.37,1
143.377,1.606,17.37,1
143.477,2.01,17.37,1
143.577,0.0,17.37,1
143.677,0.0,17.47,1
143.777,0.0,17.47,0
143.877,0.0,17.47,0
143.977,0.0,17.47,0
144.077,0.0,17.47,0
144.177,0.0,17.47,0
144.277,0.0,17.54,0
144.377,0.0,17.54,0
144.477,0.0,17.54,0
144.577,0.0,17.54,0
144.677,1.377,17.54,0
144.777,4.356,17.54,0
144.877,3.739,17.5,1
144.977,4.76,17.5,1
145.077,3.21,17.5,1
145.177,3.385,17.5,1
145.277,2.631,17.5,1
145.377,3.473,17.5,1
145.477,2.364,17.57,1
145.577,2.456,17.57,1
145.677,1.194,17.57,1
145.777,0.0,17.57,1
145.877,0.0,17.57,1
145.977,0.0,17.57,0
146.077,0.0,17.65,0
146.177,0.0,17.65,0
146.277,0.0,17.65,0
146.377,0.0,17.65,0
146.477,0.0,17.65,0
146.577,0.0,17.65,0
146.677,0.0,17.67,0
146.777,0.0,17.67,0
146.877,0.0,17.67,0
146.977,1.831,17.67,0
147.077,3.119,17.67,0
147.177,2.76,17.67,1
147.277,2.898,17.64,1
147.377,2.456,17.64,1
147.477,2.01,17.64,1
147.577,2.01,17.64,1
147.677,1.331,17.64,1
147.777,1.239,17.64,1
147.877,1.285,17.71,1
147.977,0.0,17.71,1
148.077,0.0,17.71,1
148.177,0.0,17.71,0
148.277,0.0,17.71,0
148.377,0.0,17.71,0
148.477,0.0,17.78,0
148.577,0.0,17.78,0
148.677,0.0,17.78,0
148.777,0.0,17.78,0
148.877,0.0,17.78,0
148.977,0.885,17.78,0
149.077,3.073,17.81,0
149.177,3.519,17.81,1
149.277,2.939,17.81,1
149.377,2.456,17.81,1
149.477,1.969,17.81,1
149.577,2.189,17.81,1
149.677,1.877,17.81,1
149.777,0.927,17.81,1
149.877,0.0,17.81,1
149.977,0.0,17.81,1
150.077,0.0,17.81,0
150.177,0.0,17.81,0
150.277,0.0,17.95,0
150.377,0.0,17.95,0
150.477,0.0,17.95,0
150.577,0.0,17.95,0
150.677,0.0,17.95,0
150.777,0.0,17.95,0
150.877,0.0,17.95,0
150.977,0.044,17.95,0
151.077,2.277,17.95,0
151.177,2.673,17.95,0
151.277,3.164,17.95,1
151.377,3.21,17.95,1
151.477,2.898,17.95,1
151.577,2.852,17.95,1
151.677,2.544,17.95,1
151.777,2.364,17.95,1
151.877,1.606,17.95,1
151.977,1.194,17.95,1
152.077,0.0,18.01,1
